ANP,Location,Site code,Sensor,Manufacturer,Model,Installation date,Installation status,Latitude,Longitude,,,,
RBMNN,Agua Brava,RBMNN-AB-01,Terrestrial camera,Browning,BTC-6PX-1080,05/15/2025,,22.211621,-105.566417,,,,
RBMNN,Agua Brava,RBMNN-AB-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,2/27/2025,,22.2116,-105.5664,,,,
RBMNN,Agua Brava,RBMNN-AB-01,Weather station,Davis Instrument,Vantage Pro2,11/18/2024,,22.211639,-105.566451,,,,
RBMNN,Agua Brava,RBMNN-AB-01,Soil sample,,,,,22.211606,-105.566367,,,,
RBMNN,Agua Brava,RBMNN-AB-01,Forest survey,,,,,22.211606,-105.566367,,,,
RBMNN,Agua Brava,RBMNN-AB-01,Drone Lidar,,,,,22.211606,-105.566367,,,,
RBMNN,Boca de Camichín,RBMNN-BC-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,1/29/2025,,21.7583,-105.4959,,,,
RBMNN,Boca de Camichín,RBMNN-BC-01,Weather station,Davis Instrument,Vantage Pro2,08/26/2024,,21.758494,-105.495673,,,,
RBMNN,Boca de Camichín,RBMNN-BC-01,Soil sample,,,,,21.767394,-105.488881,,,,
RBMNN,Boca de Camichín,RBMNN-BC-01,Forest survey,,,,,21.767394,-105.488881,,,,
RBMNN,Boca de Camichín,RBMNN-BC-02,Underwater datalogger,Van Essen Instruments,CTD-Diver,1/29/2025,,21.767475,-105.489043,,,,
RBMNN,Boca de Camichín,RBMNN-BC-02,Weather station,Davis Instrument,Vantage Pro2,08/26/2024,,21.767409,-105.48898,,,,
RBMNN,Boca de Camichín,RBMNN-BC-02,Soil sample,,,,,21.758657,-105.495303,,,,
RBMNN,Boca de Camichín,RBMNN-BC-02,Forest survey,,,,,21.758657,-105.495303,,,,
RBMNN,Boca de Camichín,RBMNN-BC-03,Weather station,Ambient Weather,WS2902,2/8/2024,,21.747397,105.48898,,,,
RBMNN,Canal de Cuautla,RBMNN-CC-01,Terrestrial camera,Reconyx,Hyperfire 2,05/15/2025,,22.191573,-105.627317,,,,
RBMNN,Canal de Cuautla,RBMNN-CC-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,2/27/2025,,22.1911,-105.6272,,,,
RBMNN,Canal de Cuautla,RBMNN-CC-01,Weather station,Davis Instrument,Vantage Pro2,9/12/2024,,22.193944,-105.641543,,,,
RBMNN,Canal de Cuautla,RBMNN-CC-01,Soil sample,,,,,22.191377,-105.627219,,,,
RBMNN,Canal de Cuautla,RBMNN-CC-01,Forest survey,,,,,22.191377,-105.627219,,,,
